,Country,log GDP per capita
0,United States,10.955335068269461
1,Euro Area,10.458959992542015
2,China,9.002460501252626
3,Japan,10.569589323317011
4,Germany,10.642372163275946
5,United Kingdom,10.59153132102182
6,France,10.513159010938752
7,India,7.463293701634611
8,Italy,10.32656633409761
9,Brazil,9.072808084928294
10,Canada,10.64511122097686
11,South Korea,10.231912876250515
12,Russia,9.075640527417358
13,Spain,10.184052157219044
14,Australia,10.818534245269952
15,Mexico,9.054252209450906
16,Indonesia,8.189419004475745
17,Turkey,9.282710568582182
18,Netherlands,10.717535464185042
19,Switzerland,11.269385285748372
20,Saudi Arabia,9.920977067666476
21,Argentina,9.43554648847674
22,Taiwan,10.00906054030779
23,Sweden,10.841539776191796
24,Poland,9.423691599442531
25,Belgium,10.620962605345339
26,Thailand,8.727974891299525
27,Nigeria,7.685949437261641
28,Iran,8.503295305055229
29,Austria,10.692255842062876
30,Norway,11.163826314839953
31,United Arab Emirates,10.5360438216068
32,Venezuela,9.313442457895247
33,Egypt,8.194419799153186
34,Hong Kong,10.681778695910907
35,Israel,10.517701876671644
36,Denmark,10.882140526125259
37,Philippines,7.984638157484367
38,Singapore,10.878720820043734
39,Malaysia,9.141798052422962
40,South Africa,8.570987380283404
41,Ireland,11.02898874142057
42,Pakistan,7.220297818486649
43,Colombia,8.662957152476395
44,Chile,9.516271623080083
45,Finland,10.671067327878843
46,Bangladesh,7.231369360659981
47,Portugal,9.897650960091676
48,Vietnam,7.691592785452115
49,Greece,9.804919282812245
50,Czech Republic,9.812425668004876
51,Peru,8.715580615896986
52,Romania,9.161295592910404
53,New Zealand,10.569966486013913
54,Iraq,8.433110074205695
55,Algeria,8.239173029876193
56,Qatar,10.994287301467445
57,Kazakhstan,8.919677671386264
58,Hungary,9.445654458910647
59,Kuwait,10.162349186452417
60,Puerto Rico,10.298329673253004
61,Morocco,7.976136108870583
62,Ecuador,8.687545845819777
63,Sudan,7.793779530275554
64,Ukraine,7.688735288200271
65,Slovakia,9.713785888444551
66,Angola,8.093378944639877
67,Cuba,8.954184553171176
68,Sri Lanka,8.248203251976609
69,Syria,8.297840600504575
70,Dominican Republic,8.87386813535497
71,Ethiopia,6.555534685392785
72,Kenya,7.289696440635073
73,Guatemala,8.35808587194905
74,Myanmar,7.1442336132952144
75,Uzbekistan,7.642969009294543
76,Oman,9.577896816102449
77,Luxembourg,11.52973258328661
78,Costa Rica,9.359532605010259
79,Panama,9.533806644918261
80,Bulgaria,8.898904213516294
81,Uruguay,9.611966703777181
82,Croatia,9.396669950167675
83,Lebanon,8.985531541342912
84,Belarus,8.506611082085701
85,Tanzania,6.8430837879620485
86,Macau,11.160704871380876
87,Slovenia,9.96439630562312
88,Lithuania,9.62163640039514
89,Ghana,7.3292788696617945
90,Tunisia,8.221507519103934
91,Jordan,8.288934539435257
92,Azerbaijan,8.273215553199186
93,Serbia,8.567065021456411
94,Ivory Coast,7.3702317529188095
95,Turkmenistan,8.757850325223156
96,Congo,6.09695205495596
97,Bolivia,8.037130035182768
98,Bahrain,10.022834310168694
99,Libya,8.436090038256262
100,Latvia,9.572130416581686
101,Paraguay,8.277884703248672
102,El Salvador,8.390397395038347
103,Yemen,6.88650127262131
104,Uganda,6.440399382658843
105,Cameroon,6.931365144621271
106,Estonia,9.765617758313008
107,Honduras,7.833178494419565
108,Nepal,6.5856717798130235
109,Trinidad and Tobago,9.6447930169576
110,Zambia,7.094687448333775
111,Cyprus,10.066006482033902
112,Iceland,10.982297213908058
113,Afghanistan,6.498787540322771
114,Cambodia,7.0406519524485685
115,Bosnia and Herzegovina,8.3981038198458
116,Papua New Guinea,7.651576750505349
117,Laos,7.769321111167046
118,Zimbabwe,6.898423951553252
119,Senegal,6.890570454228036
120,Botswana,8.804875263868018
121,Georgia,8.23308894031234
122,Gabon,8.998691200087707
123,Jamaica,8.517193191416238
124,Mali,6.656996560634954
125,Nicaragua,7.627404400287589
126,Mauritius,9.161550207806751
127,Albania,8.334871634622283
128,Burkina Faso,6.4466452474620795
129,Brunei,10.173151119485231
130,Armenia,8.207038263112398
131,Mozambique,5.944234040130197
132,Mongolia,8.167817549959116
133,Malta,10.126631103850338
134,Macedonia,8.57810194450323
135,Madagascar,5.995874255596682
136,Namibia,8.377431249041079
137,New Caledonia,10.48330604778907
138,Chad,6.539645957417742
139,Equatorial Guinea,9.372859301473957
140,Benin,6.689959333994523
141,Bahamas,10.072563882580061
142,South Sudan,6.601087906619275
143,Haiti,6.597517020816993
144,Niger,5.958513446968296
145,Palestine,7.416499736544304
146,Rwanda,6.565940197950429
147,Republic of the Congo,7.3520911614792945
148,Liechtenstein,12.072541252905651
149,Moldova,7.586717824550126
150,Kyrgyzstan,7.038840685878399
151,Kosovo,8.282685881451712
152,Tajikistan,6.6903424023769125
153,Somalia,6.037857586677693
154,Monaco,11.918390573078392
155,Guinea,6.181818275599201
156,Fiji,8.622553707074063
157,Mauritania,7.05857816871672
158,Malawi,5.621833892009033
159,Maldives,9.161550207806751
160,Montenegro,8.772085441045027
161,Eritrea,6.639638362025196
162,Sierra Leone,6.292569639891903
163,Suriname,8.910235779525845
164,Swaziland,8.016417903503749
165,Togo,6.264586468228433
166,Guyana,8.307472660434168
167,Cayman Islands,10.819778284410283
168,Burundi,5.654992310486769
169,Cape Verde,8.254828926948747
170,Central African Republic,6.011667254425501
171,Bhutan,7.86226722367649
172,Djibouti,7.66277786326017
173,Lesotho,6.812445099177812
174,Liberia,6.074846156047033
175,Seychelles,9.315700887634009
176,East Timor,6.668738378511637
177,Guinea Bissau,6.3089187778934335
178,Gambia,6.194805471126012
179,Comoros,7.143477612503207
180,Sao Tome and Principe,-inf
